,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,features,column_mean,column_std
75,75,75,75,heartrate__benford_correlation,1.299774022599947e-15,1.0000000000000258
76,76,76,76,heartrate__binned_entropy__max_bins_10,-2.0871257897478253e-14,0.9999999999999991
77,77,77,77,heartrate__c3__lag_1,-1.8783377980934116e-14,1.0000000000000189
78,78,78,78,heartrate__c3__lag_2,1.628707243389999e-14,1.000000000000001
79,79,79,79,heartrate__c3__lag_3,2.111724486896389e-15,0.9999999999999994
80,80,80,80,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.2__ql_0.0",3.3004680134398553e-15,0.9999999999999438
81,81,81,81,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.4__ql_0.0",-7.649349634764725e-17,1.00000000000017
82,82,82,82,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.4__ql_0.2",2.15403399307069e-15,1.0000000000003217
83,83,83,83,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.6__ql_0.0",-1.7021969629208998e-15,0.9999999999999645
84,84,84,84,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.6__ql_0.2",1.4998456479176678e-15,1.0000000000000004
85,85,85,85,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.6__ql_0.4",-7.830770031968028e-15,0.9999999999999053
86,86,86,86,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.8__ql_0.0",-2.873252601424962e-16,1.0000000000000189
87,87,87,87,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.8__ql_0.2",-2.7266898079335763e-15,0.999999999999993
88,88,88,88,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.8__ql_0.4",-5.1535583608952155e-15,1.0000000000000928
89,89,89,89,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_0.8__ql_0.6",3.0060345602461246e-15,1.000000000000099
90,90,90,90,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_1.0__ql_0.0",6.0611830507839714e-15,0.9999999999998881
91,91,91,91,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_1.0__ql_0.2",-2.0162509384913136e-15,1.0000000000000684
92,92,92,92,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_1.0__ql_0.4",-4.4241992974196026e-16,1.0000000000000862
93,93,93,93,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_1.0__ql_0.6",3.253541588315048e-15,0.9999999999999831
94,94,94,94,"heartrate__change_quantiles__f_agg_""mean""__isabs_false__qh_1.0__ql_0.8",2.78179459905771e-15,1.0000000000000016
95,95,95,95,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.2__ql_0.0",-2.387131255681187e-15,0.9999999999999815
96,96,96,96,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.4__ql_0.0",-4.461962122976229e-15,1.0000000000000036
97,97,97,97,"heartrate__change_quantiles__f_agg_""mean""__isabs_true__qh_0.4__ql_0.2",-2.1751588171458012e-14,1.0000000000001983
